image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\7f00ff7038.jpg,1,0.829817593,0.164887801,0.006957986,0.486380905,0.001884704
E:\RC11\term 2\draft\3.1\G1_structural_design\8073e6ef49.jpg,1,0.835833371,0.199715123,0.002118344,0.519886672,0.010662981
E:\RC11\term 2\draft\3.1\G1_structural_design\807be1c26f.jpg,1,0.766065836,0.27145955,0.00178053,0.527750611,0.00716975
E:\RC11\term 2\draft\3.1\G1_structural_design\811cdf5eae.jpg,1,0.88232249,0.065609999,0.001082715,0.49959752,0.000593198
E:\RC11\term 2\draft\3.1\G1_structural_design\819552d167.jpg,1,0.780167222,0.124772958,0.005334353,0.52626884,0.001861213
E:\RC11\term 2\draft\3.1\G1_structural_design\821035bb46.jpg,1,0.902226329,0.08627931,0.002679618,0.483073741,0.000785362
E:\RC11\term 2\draft\3.1\G1_structural_design\82296bcb6b.jpg,1,0.827924371,0.112602443,0.004833053,0.491451055,0.003145266
E:\RC11\term 2\draft\3.1\G1_structural_design\83c2a63ffd.jpg,1,0.406820685,0.143270537,0.024803111,0.504500747,0.001916619
E:\RC11\term 2\draft\3.1\G1_structural_design\842a169a5b.jpg,1,0.765899599,0.289298594,0.003725239,0.531993091,0.007362902
E:\RC11\term 2\draft\3.1\G1_structural_design\87366ddb5d.jpg,1,0.746076882,0.252505511,0.006275705,0.529004455,0.007368872
E:\RC11\term 2\draft\3.1\G1_structural_design\87cc31c5ea.jpg,1,0.802082658,0.125098944,0.006386865,0.509874403,0.003150836
E:\RC11\term 2\draft\3.1\G1_structural_design\880d46575d.jpg,1,0.808603764,0.071147494,0.001585907,0.49654308,0.00163106
E:\RC11\term 2\draft\3.1\G1_structural_design\88bce172b4.jpg,1,0.898870409,0.131684706,0.001854788,0.564122319,0.001995116
E:\RC11\term 2\draft\3.1\G1_structural_design\891e0669e0.jpg,1,0.892148793,0.094503909,0.00106762,0.518036306,0.001322255
E:\RC11\term 2\draft\3.1\G1_structural_design\8968827ccb.jpg,1,0.744584858,0.160659134,0.0045991,0.482770681,0.004119292
E:\RC11\term 2\draft\3.1\G1_structural_design\89740d5666.jpg,1,0.860859156,0.085227869,0.002274996,0.508432031,0.003206988
E:\RC11\term 2\draft\3.1\G1_structural_design\899411af82.jpg,1,0.685910285,0.134081274,0.016343255,0.465651482,0.002222941
E:\RC11\term 2\draft\3.1\G1_structural_design\8a685f700d.jpg,1,0.810904205,0.074031159,0.001664174,0.485337555,0.001626051
E:\RC11\term 2\draft\3.1\G1_structural_design\8b19b8868f.jpg,1,0.700373948,0.112426758,0.013633694,0.476713836,0.002729696
E:\RC11\term 2\draft\3.1\G1_structural_design\8b96c2a6cd.jpg,1,0.783867836,0.117689595,0.005067383,0.489007533,0.002951243
E:\RC11\term 2\draft\3.1\G1_structural_design\8d141dd403.jpg,1,0.861369729,0.114224993,0.002644287,0.488519609,0.00131597
